measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"% of all U.S. abortions, by state of occurrence",0.5,IA,Iowa,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.8,KS,Kansas,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.4,KY,Kentucky,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",1.1,LA,Louisiana,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,ME,Maine,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",3,MD,Maryland,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",2.3,MA,Massachusetts,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",3.1,MI,Michigan,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",1.1,MN,Minnesota,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,MS,Mississippi,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.6,MO,Missouri,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,MT,Montana,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,NE,Nebraska,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",1.2,NV,Nevada,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.3,NH,"New Hampshire",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",4.8,NJ,"New Jersey",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.5,NM,"New Mexico",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",12.9,NY,"New York",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",3.2,NC,"North Carolina",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.1,ND,"North Dakota",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",2.5,OH,Ohio,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.6,OK,Oklahoma,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",1,OR,Oregon,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",3.5,PA,Pennsylvania,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.4,RI,"Rhode Island",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.7,SC,"South Carolina",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.1,SD,"South Dakota",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",1.5,TN,Tennessee,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",6,TX,Texas,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.3,UT,Utah,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,VT,Vermont,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",2.3,VA,Virginia,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",2.1,WA,Washington,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.2,WV,"West Virginia",2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0.7,WI,Wisconsin,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"% of all U.S. abortions, by state of occurrence",0,WY,Wyoming,2014,n/a,,"Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",8020,AL,Alabama,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",1470,AK,Alaska,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",12870,AZ,Arizona,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",4590,AR,Arkansas,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",157350,CA,California,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",13160,CO,Colorado,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",13140,CT,Connecticut,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",3010,DE,Delaware,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",5820,DC,"District of Columbia",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",75990,FL,Florida,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",33000,GA,Georgia,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",3760,HI,Hawaii,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",1320,ID,Idaho,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",42270,IL,Illinois,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",8180,IN,Indiana,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",4380,IA,Iowa,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",7240,KS,Kansas,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",3530,KY,Kentucky,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",10150,LA,Louisiana,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2220,ME,Maine,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",28140,MD,Maryland,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",21020,MA,Massachusetts,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",29120,MI,Michigan,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",9760,MN,Minnesota,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2290,MS,Mississippi,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",5130,MO,Missouri,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",1690,MT,Montana,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2280,NE,Nebraska,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",10970,NV,Nevada,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2540,NH,"New Hampshire",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",44460,NJ,"New Jersey",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",4650,NM,"New Mexico",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",119940,NY,"New York",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",29960,NC,"North Carolina",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",1260,ND,"North Dakota",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",22730,OH,Ohio,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",5330,OK,Oklahoma,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",9330,OR,Oregon,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",32030,PA,Pennsylvania,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",3580,RI,"Rhode Island",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",6040,SC,"South Carolina",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",550,SD,"South Dakota",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",13880,TN,Tennessee,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",55230,TX,Texas,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2960,UT,Utah,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",1400,VT,Vermont,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",21080,VA,Virginia,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",19230,WA,Washington,2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
"No. of abortions, by state of occurrence",2020,WV,"West Virginia",2014,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2014, Rachel K. Jones, Jenna Jerman <https://www.guttmacher.org/journals/psrh/2017/01/abortion-incidence-and-service-availability-united-states-2014>"
